x,y,HEATING_DEGREE_DAYS,NORMAL_SNOWFALL,LOCAL_YEAR,LOCAL_MONTH,MIN_TEMPERATURE,ID,DAYS_WITH_VALID_PRECIP,MEAN_TEMPERATURE,NORMAL_PRECIPITATION,DAYS_WITH_VALID_MAX_TEMP,COOLING_DEGREE_DAYS,DAYS_WITH_VALID_SNOWFALL,LONGITUDE,DAYS_WITH_PRECIP_GE_1MM,LOCAL_DATE,NORMAL_SUNSHINE,LATITUDE,SNOW_ON_GROUND_LAST_DAY,PROVINCE_CODE,BRIGHT_SUNSHINE,NORMAL_MEAN_TEMPERATURE,LAST_UPDATED,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MEAN_TEMP,STATION_NAME,TOTAL_SNOWFALL,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE
-53.11416666666667,48.66722222222222,362.6,,2021,11,-2.4,45047.2021.11,30,5.913333333333333,,30,0,0,-53.114,13,2021-11,,48.667,,NL,,,2024-09-25 10:03:22,NEWFOUNDLAND,105.3,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,12.9
-53.11416666666667,48.66722222222222,572.1,,2021,12,-9.7,45047.2021.12,31,-0.45483870967741935,,31,0,0,-53.114,14,2021-12,,48.667,,NL,,,2022-01-01 11:33:51,NEWFOUNDLAND,91.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,14.5
-53.11416666666667,48.66722222222222,625,,2022,1,-14,45047.2022.1,30,-2.161290322580645,,31,0,0,-53.114,14,2022-01,,48.667,,NL,,,2022-02-01 11:33:24,NEWFOUNDLAND,97.6,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,10.7
-53.11416666666667,48.66722222222222,564.6,,2022,2,-12.5,45047.2022.2,24,-3.7153846153846155,,26,0,0,-53.114,8,2022-02,,48.667,2,NL,,,2025-05-01 10:32:26,NEWFOUNDLAND,106,0,TERRE-NEUVE,8400601,26,BONAVISTA,,26,7.7
-53.11416666666667,48.66722222222222,593.8,,2022,3,-11.2,45047.2022.3,30,-1.7933333333333332,,30,0,0,-53.114,13,2022-03,,48.667,,NL,,,2024-09-25 10:10:46,NEWFOUNDLAND,87.9,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,9.8
-53.11416666666667,48.66722222222222,477.1,,2022,4,-3.2,45047.2022.4,30,2.0966666666666667,,30,0,0,-53.114,13,2022-04,,48.667,,NL,,,2024-09-25 09:59:45,NEWFOUNDLAND,118.3,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,14.6
-53.11416666666667,48.66722222222222,370.2,,2022,5,-1.3,45047.2022.5,30,6.058064516129032,,31,0,0,-53.114,8,2022-05,,48.667,,NL,,,2024-09-25 10:08:33,NEWFOUNDLAND,37.3,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,19.7
-53.11416666666667,48.66722222222222,208.7,,2022,6,0.9,45047.2022.6,30,11.11,,30,2,0,-53.114,8,2022-06,,48.667,,NL,,,2024-09-25 09:52:54,NEWFOUNDLAND,46,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,24.9
-53.11416666666667,48.66722222222222,41.9,,2022,7,10.1,45047.2022.7,31,17.545161290322582,,31,27.8,0,-53.114,8,2022-07,,48.667,,NL,,,2024-09-25 09:56:52,NEWFOUNDLAND,38.3,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,29.9
-53.11416666666667,48.66722222222222,22.5,,2022,8,11.8,45047.2022.8,30,18.88,,30,48.9,0,-53.114,7,2022-08,,48.667,,NL,,,2024-09-25 10:06:59,NEWFOUNDLAND,36.2,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,29
-53.11416666666667,48.66722222222222,110.3,,2022,9,6.9,45047.2022.9,30,14.513333333333334,,30,5.7,0,-53.114,10,2022-09,,48.667,,NL,,,2024-09-25 10:06:54,NEWFOUNDLAND,90,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,25
-53.11416666666667,48.66722222222222,214.8,,2022,10,3.5,45047.2022.10,31,11.070967741935483,,31,0,0,-53.114,3,2022-10,,48.667,,NL,,,2024-09-25 09:53:13,NEWFOUNDLAND,22.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,18.1
-53.11416666666667,48.66722222222222,446.3,,2022,11,-6.8,45047.2022.11,30,3.1233333333333335,,30,0,0,-53.114,15,2022-11,,48.667,,NL,,,2024-09-25 10:01:05,NEWFOUNDLAND,126.9,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,17.6
-53.11416666666667,48.66722222222222,507,,2022,12,-7.3,45047.2022.12,30,1.1,,30,0,0,-53.114,14,2022-12,,48.667,,NL,,,2023-01-31 14:54:38,NEWFOUNDLAND,78.3,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,8
-53.11416666666667,48.66722222222222,564.1,,2023,1,-10.6,45047.2023.1,30,-0.8033333333333333,,30,0,0,-53.114,19,2023-01,,48.667,,NL,,,2024-09-25 09:49:28,NEWFOUNDLAND,143.1,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,12
-53.11416666666667,48.66722222222222,676.2,,2023,2,-15.5,45047.2023.2,28,-6.15,,28,0,0,-53.114,13,2023-02,,48.667,70,NL,,,2023-03-01 11:33:59,NEWFOUNDLAND,152.2,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,6
-53.11416666666667,48.66722222222222,599.8,,2023,3,-11.5,45047.2023.3,30,-1.9933333333333334,,30,0,0,-53.114,9,2023-03,,48.667,79,NL,,,2024-09-25 09:57:34,NEWFOUNDLAND,62,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,4.2
-53.11416666666667,48.66722222222222,522.5,,2023,4,-6.1,45047.2023.4,30,0.5833333333333334,,30,0,0,-53.114,6,2023-04,,48.667,4,NL,,,2024-09-25 10:05:43,NEWFOUNDLAND,43.5,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,10.8
-53.11416666666667,48.66722222222222,387.8,,2023,5,-1.1,45047.2023.5,31,5.490322580645161,,31,0,0,-53.114,9,2023-05,,48.667,,NL,,,2023-06-01 14:49:19,NEWFOUNDLAND,54.8,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,15.6
-53.11416666666667,48.66722222222222,299.1,,2023,6,1.3,45047.2023.6,30,8.196666666666667,,30,5,0,-53.114,11,2023-06,,48.667,,NL,,,2024-09-25 09:53:54,NEWFOUNDLAND,137.1,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,26.2
-53.11416666666667,48.66722222222222,35.2,,2023,7,11.4,45047.2023.7,30,19.025,,28,63.9,0,-53.114,10,2023-07,,48.667,,NL,,,2024-09-25 10:05:59,NEWFOUNDLAND,113.9,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,32.1
-53.11416666666667,48.66722222222222,58.5,,2023,8,9.8,45047.2023.8,31,16.309677419354838,,31,6.1,0,-53.114,12,2023-08,,48.667,,NL,,,2024-09-25 10:05:57,NEWFOUNDLAND,60.1,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,24
-53.11416666666667,48.66722222222222,126,,2023,9,5.8,45047.2023.9,30,14.053333333333333,,30,7.6,0,-53.114,9,2023-09,,48.667,,NL,,,2024-09-25 10:06:04,NEWFOUNDLAND,35.1,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,25.1
-53.11416666666667,48.66722222222222,260.7,,2023,10,0.8,45047.2023.10,30,9.31,,30,0,0,-53.114,9,2023-10,,48.667,,NL,,,2024-09-25 09:58:15,NEWFOUNDLAND,72.9,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,18
-53.11416666666667,48.66722222222222,454,,2023,11,-3.6,45047.2023.11,29,2.3448275862068964,,29,0,0,-53.114,9,2023-11,,48.667,4,NL,,,2024-09-25 09:54:17,NEWFOUNDLAND,89.4,0,TERRE-NEUVE,8400601,29,BONAVISTA,,29,13.5
-53.11416666666667,48.66722222222222,528,,2023,12,-6.1,45047.2023.12,31,0.967741935483871,,31,0,0,-53.114,11,2023-12,,48.667,3,NL,,,2024-09-25 10:14:03,NEWFOUNDLAND,56.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,13.6
-53.11416666666667,48.66722222222222,644.1,,2024,1,-14.9,45047.2024.1,30,-3.47,,30,0,0,-53.114,6,2024-01,,48.667,,NL,,,2025-01-15 10:33:41,NEWFOUNDLAND,34.5,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,5.8
-53.11416666666667,48.66722222222222,565.2,,2024,2,-10.1,45047.2024.2,29,-1.4896551724137932,,29,0,0,-53.114,10,2024-02,,48.667,1,NL,,,2025-01-16 10:33:05,NEWFOUNDLAND,137.7,0,TERRE-NEUVE,8400601,29,BONAVISTA,,29,8.9
-53.11416666666667,48.66722222222222,548.9,,2024,3,-8.2,45047.2024.3,31,0.29354838709677417,,31,0,0,-53.114,12,2024-03,,48.667,,NL,,,2025-01-16 10:30:41,NEWFOUNDLAND,128.7,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,13.2
-53.11416666666667,48.66722222222222,450.1,,2024,4,-2.5,45047.2024.4,30,2.9966666666666666,,30,0,0,-53.114,10,2024-04,,48.667,0,NL,,,2024-09-25 09:54:50,NEWFOUNDLAND,79,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,14.4
-53.11416666666667,48.66722222222222,379.4,,2024,5,-0.2,45047.2024.5,29,5.3533333333333335,,30,0,0,-53.114,12,2024-05,,48.667,,NL,,,2024-09-25 09:54:44,NEWFOUNDLAND,104.9,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,21.8
-53.11416666666667,48.66722222222222,151.9,,2024,6,4.4,45047.2024.6,30,12.98,,30,1.3,0,-53.114,10,2024-06,,48.667,,NL,,,2024-09-25 10:03:01,NEWFOUNDLAND,88.6,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,27.8
-53.11416666666667,48.66722222222222,26.3,,2024,7,10.1,45047.2024.7,31,18.893548387096775,,31,54,0,-53.114,7,2024-07,,48.667,,NL,,,2024-09-25 09:54:55,NEWFOUNDLAND,50.7,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,30.6
-53.11416666666667,48.66722222222222,26.5,,2024,8,10,45047.2024.8,31,18.629032258064516,,31,46,0,-53.114,10,2024-08,,48.667,,NL,,,2024-09-01 11:33:03,NEWFOUNDLAND,46.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,29.4
-53.11416666666667,48.66722222222222,104.1,,2024,9,5.9,45047.2024.9,27,14.3,,26,7.9,0,-53.114,7,2024-09,,48.667,,NL,,,2024-10-31 14:48:32,NEWFOUNDLAND,27,0,TERRE-NEUVE,8400601,26,BONAVISTA,,27,24.7
-53.11416666666667,48.66722222222222,240.8,,2024,10,1.4,45047.2024.10,28,9.4,,28,0,0,-53.114,10,2024-10,,48.667,,NL,,,2024-11-30 14:49:08,NEWFOUNDLAND,94.8,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,16.9
-53.11416666666667,48.66722222222222,378.3,,2024,11,0,45047.2024.11,30,5.39,,30,0,0,-53.114,20,2024-11,,48.667,0,NL,,,2024-12-06 11:31:00,NEWFOUNDLAND,347.3,0,TERRE-NEUVE,8400601,30,BONAVISTA,,30,13.1
-53.11416666666667,48.66722222222222,483.9,,2024,12,-8.6,45047.2024.12,20,0.7178571428571429,,28,0,0,-53.114,4,2024-12,,48.667,,NL,,,2025-01-31 14:49:26,NEWFOUNDLAND,16.7,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,14.5
-53.11416666666667,48.66722222222222,594.4,,2025,1,-12.5,45047.2025.1,31,-1.1741935483870967,,31,0,0,-53.114,16,2025-01,,48.667,0,NL,,,2025-02-01 11:35:09,NEWFOUNDLAND,100.5,0,TERRE-NEUVE,8400601,31,BONAVISTA,,31,10.7
-53.11416666666667,48.66722222222222,609.2,,2025,2,-12.2,45047.2025.2,28,-3.757142857142857,,28,0,0,-53.114,9,2025-02,,48.667,11,NL,,,2025-03-01 11:34:34,NEWFOUNDLAND,61.1,0,TERRE-NEUVE,8400601,28,BONAVISTA,,28,9.4
-53.11416666666667,48.66722222222222,521.1,,2025,3,-8.1,45047.2025.3,29,0.03103448275862069,,29,0,0,-53.114,11,2025-03,,48.667,,NL,,,2025-04-30 14:48:56,NEWFOUNDLAND,63.2,0,TERRE-NEUVE,8400601,29,BONAVISTA,,29,12.3
-53.11416666666667,48.66722222222222,404.5,,2025,4,-3.9,45047.2025.4,26,2.4423076923076925,,26,0,0,-53.114,11,2025-04,,48.667,,NL,,,2025-05-08 14:49:42,NEWFOUNDLAND,84.2,0,TERRE-NEUVE,8400601,26,BONAVISTA,,26,14.3
-55.35,49.15,45.2,,1937,8,-1.1,6577.1937.8,14,14.333333333333334,,13,1.2,14,-55.350,4,1937-08,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,17.5,,TERRE-NEUVE,8400650,12,BOTWOOD,0,12,25.6
-55.35,49.15,128.8,,1937,9,-1.1,6577.1937.9,30,14.646666666666667,,30,28.2,30,-55.350,10,1937-09,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,65.1,,TERRE-NEUVE,8400650,30,BOTWOOD,0,30,28.3
-55.35,49.15,338.7,,1937,10,-2.8,6577.1937.10,31,7.074193548387097,,31,0,31,-55.350,13,1937-10,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,113.6,,TERRE-NEUVE,8400650,31,BOTWOOD,0.5,31,21.7
-55.35,49.15,481.2,,1937,11,-9.4,6577.1937.11,30,1.96,,30,0,30,-55.350,10,1937-11,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,103,,TERRE-NEUVE,8400650,30,BOTWOOD,1.4,30,13.9
-55.35,49.15,669.6,,1937,12,-20.6,6577.1937.12,31,-3.6,,31,0,31,-55.350,11,1937-12,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,116.5,,TERRE-NEUVE,8400650,31,BOTWOOD,89.2,31,11.7
-55.35,49.15,833.5,,1938,1,-30,6577.1938.1,31,-8.887096774193548,,31,0,31,-55.350,6,1938-01,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,33,,TERRE-NEUVE,8400650,31,BOTWOOD,20,31,7.8
-55.35,49.15,712,,1938,2,-31.1,6577.1938.2,28,-11.666666666666666,,24,0,28,-55.350,10,1938-02,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,105.6,,TERRE-NEUVE,8400650,24,BOTWOOD,96.2,28,2.2
-55.35,49.15,764.9,,1938,3,-27.2,6577.1938.3,31,-6.674193548387096,,31,0,31,-55.350,8,1938-03,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,41.8,,TERRE-NEUVE,8400650,31,BOTWOOD,39.9,31,8.3
-55.35,49.15,495.7,,1938,4,-11.7,6577.1938.4,30,1.4766666666666666,,30,0,30,-55.350,15,1938-04,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,82.3,,TERRE-NEUVE,8400650,30,BOTWOOD,22.5,30,17.2
-55.35,49.15,349,,1938,5,-6.1,6577.1938.5,31,6.741935483870968,,31,0,31,-55.350,12,1938-05,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,85.4,,TERRE-NEUVE,8400650,31,BOTWOOD,3.8,31,24.4
-55.35,49.15,119.5,,1938,6,2.8,6577.1938.6,30,14.4,,30,11.5,30,-55.350,12,1938-06,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,137.3,,TERRE-NEUVE,8400650,30,BOTWOOD,0,30,28.9
-55.35,49.15,55.2,,1938,7,0.6,6577.1938.7,31,17.570967741935483,,31,41.9,31,-55.350,10,1938-07,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,72.7,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,30
-55.35,49.15,64.1,,1938,8,4.4,6577.1938.8,31,16.925806451612903,,31,30.8,31,-55.350,11,1938-08,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,61.1,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,31.7
-55.35,49.15,150.8,,1938,9,0,6577.1938.9,30,13.19,,30,6.5,30,-55.350,11,1938-09,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,115,,TERRE-NEUVE,8400650,30,BOTWOOD,0,30,27.8
-55.35,49.15,327.1,,1938,10,-1.7,6577.1938.10,31,7.448387096774193,,31,0,31,-55.350,11,1938-10,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,138.8,,TERRE-NEUVE,8400650,31,BOTWOOD,9.7,31,26.1
-55.35,49.15,495.7,,1938,11,-14.4,6577.1938.11,30,0.906896551724138,,29,0,30,-55.350,16,1938-11,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,102.7,,TERRE-NEUVE,8400650,29,BOTWOOD,81.8,29,15.6
-55.35,49.15,170,,1941,9,-1.7,6577.1941.9,30,9.052631578947368,,21,0,30,-55.350,9,1941-09,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,19.7,,TERRE-NEUVE,8400650,19,BOTWOOD,0,20,21.1
-55.35,49.15,401.7,,1941,10,-3.9,6577.1941.10,31,5.041935483870968,,31,0,31,-55.350,13,1941-10,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,87.9,,TERRE-NEUVE,8400650,31,BOTWOOD,2.5,31,15.6
-55.35,49.15,144.8,,1942,5,0,6577.1942.5,17,9.48235294117647,,17,0,17,-55.350,8,1942-05,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,61.3,,TERRE-NEUVE,8400650,17,BOTWOOD,0.3,17,25.6
-55.35,49.15,167.8,,1942,6,0.6,6577.1942.6,30,12.446666666666667,,30,1.2,30,-55.350,9,1942-06,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,44.9,,TERRE-NEUVE,8400650,30,BOTWOOD,0,30,24.4
-55.35,49.15,33.6,,1942,7,5,6577.1942.7,31,18.025806451612905,,31,34.4,31,-55.350,12,1942-07,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,153.2,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,31.1
-55.35,49.15,45.8,,1942,8,2.8,6577.1942.8,31,17.496774193548386,,31,30.2,31,-55.350,11,1942-08,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,61.3,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,29.4
-55.35,49.15,120.6,,1942,9,0,6577.1942.9,30,14.326666666666666,,30,10.4,30,-55.350,7,1942-09,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,78,,TERRE-NEUVE,8400650,30,BOTWOOD,0,30,29.4
-55.35,49.15,309.1,,1942,10,-4.4,6577.1942.10,31,8.029032258064516,,31,0,31,-55.350,6,1942-10,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,75.4,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,22.2
-55.35,49.15,477.6,,1942,11,-10.6,6577.1942.11,30,2.08,,30,0,30,-55.350,12,1942-11,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,118.2,,TERRE-NEUVE,8400650,30,BOTWOOD,6.1,30,20
-55.35,49.15,752.7,,1942,12,-20,6577.1942.12,31,-6.280645161290322,,31,0,31,-55.350,11,1942-12,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,45.6,,TERRE-NEUVE,8400650,31,BOTWOOD,33.2,31,7.2
-55.35,49.15,854.3,,1943,1,-22.8,6577.1943.1,31,-9.558064516129033,,31,0,31,-55.350,8,1943-01,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,31.8,,TERRE-NEUVE,8400650,31,BOTWOOD,31.8,31,2.8
-55.35,49.15,677.7,,1943,2,-25.6,6577.1943.2,28,-6.203571428571428,,28,0,28,-55.350,15,1943-02,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,50.9,,TERRE-NEUVE,8400650,28,BOTWOOD,30.6,28,9.4
-55.35,49.15,704,,1943,3,-21.1,6577.1943.3,31,-4.709677419354839,,31,0,31,-55.350,14,1943-03,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,95.8,,TERRE-NEUVE,8400650,31,BOTWOOD,63.7,31,6.7
-55.35,49.15,502.1,,1943,4,-11.1,6577.1943.4,30,1.2633333333333334,,30,0,30,-55.350,9,1943-04,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,58,,TERRE-NEUVE,8400650,30,BOTWOOD,34.7,30,17.8
-55.35,49.15,390.8,,1943,5,-3.9,6577.1943.5,31,5.393548387096774,,31,0,31,-55.350,7,1943-05,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,18.4,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,16.7
-55.35,49.15,261.6,,1943,6,-0.6,6577.1943.6,30,9.28,,30,0,30,-55.350,7,1943-06,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,31.3,,TERRE-NEUVE,8400650,30,BOTWOOD,0,30,22.2
-55.35,49.15,63.4,,1943,7,4.4,6577.1943.7,31,16.625806451612902,,31,20.8,31,-55.350,8,1943-07,,49.150,,NL,,,2014-07-31 11:53:16,NEWFOUNDLAND,59.4,,TERRE-NEUVE,8400650,31,BOTWOOD,0,31,31.7
